الفئة,المنتج,السعر
الخضراوات,الطماطم / كيلو,5.26 جنيه
الخضراوات,+0.071.35 %,غير متاح
الخضراوات,البطاطس / كيلو,10.22 جنيه
الخضراوات,+0.070.69 %,غير متاح
الخضراوات,الليمون البلدي / كيلو,79.46 جنيه
الخضراوات,+0.640.81 %,غير متاح
الخضراوات,البامية / كيلو,50.11 جنيه
الخضراوات,-1.893.63 %,غير متاح
الخضراوات,ورق العنب البناتي / كيلو,128.21 جنيه
الخضراوات,+3.212.57 %,غير متاح
الخضراوات,ورق العنب البلدي / كيلو,120.4 جنيه
الخضراوات,+3.843.29 %,غير متاح
الخضراوات,الملوخية / كيلو,27.2 جنيه
الخضراوات,+0.51.87 %,غير متاح
الخضراوات,اللفت / كيلو,8.1 جنيه
الخضراوات,+0.729.76 %,غير متاح
الخضراوات,الكوسة / كيلو,19.52 جنيه
الخضراوات,+0.080.41 %,غير متاح
الخضراوات,كسبرة (رابطة 100 واحدة) / 100 رابطة,256.14 جنيه
الخضراوات,+20.378.64 %,غير متاح
الخضراوات,الطماطم / كيلو,3.3 جنيه
الخضراوات,-2.240 %,غير متاح
الخضراوات,البطاطس / كيلو,5.38 جنيه
الخضراوات,+3.18144.55 %,غير متاح
الخضراوات,الليمون البلدي / كيلو,65 جنيه
الخضراوات,+52400 %,غير متاح
الخضراوات,البامية / كيلو,52.5 جنيه
الخضراوات,+32.5162.5 %,غير متاح
الخضراوات,ورق العنب البلدي / كيلو,100 جنيه
الخضراوات,+80400 %,غير متاح
الخضراوات,الملوخية / كيلو,16.5 جنيه
الخضراوات,+9.5135.71 %,غير متاح
الخضراوات,اللفت / كيلو,5.25 جنيه
الخضراوات,+3.25162.5 %,غير متاح
الخضراوات,الكوسة / كيلو,13.33 جنيه
الخضراوات,+8.33166.6 %,غير متاح
الخضراوات,كرنب / واحدة,17.5 جنيه
الخضراوات,+13.5337.5 %,غير متاح
الخضراوات,القلقاس / كيلو,25 جنيه
الخضراوات,+19316.67 %,غير متاح
الخضراوات,الطماطم / كيلو,4.15 جنيه
الخضراوات,-0.296.53 %,غير متاح
الخضراوات,البطاطس / كيلو,6.65 جنيه
الخضراوات,-1.2816.14 %,غير متاح
الخضراوات,الليمون البلدي / كيلو,66.47 جنيه
الخضراوات,+3.295.21 %,غير متاح
الخضراوات,البامية / كيلو,51.25 جنيه
الخضراوات,-0.751.44 %,غير متاح
الخضراوات,ورق العنب البناتي / كيلو,102.5 جنيه
الخضراوات,+6.947.26 %,غير متاح
الخضراوات,ورق العنب البلدي / كيلو,30 جنيه
الخضراوات,00 %,غير متاح
الخضراوات,الملوخية / كيلو,29.17 جنيه
الخضراوات,+0.050.17 %,غير متاح
الخضراوات,الكوسة / كيلو,19.25 جنيه
الخضراوات,+0.693.72 %,غير متاح
الخضراوات,كسبرة (رابطة 100 واحدة) / 100 رابطة,208.33 جنيه
الخضراوات,+11.275.72 %,غير متاح
الخضراوات,كرنب / واحدة,23.85 جنيه
الخضراوات,-0.632.57 %,غير متاح
الخضراوات,الطماطم / طن,2000 جنيه
الخضراوات,-109035.28 %,غير متاح
الخضراوات,البطاطس / طن,6000 جنيه
الخضراوات,+58503900 %,غير متاح
الخضراوات,الليمون البلدي / طن,60000 جنيه
الخضراوات,00 %,غير متاح
الخضراوات,جزر اصفر (بعرش) / طن,5000 جنيه
الخضراوات,00 %,غير متاح
الخضراوات,البصل / طن,9200 جنيه
الخضراوات,+8491.671198.83 %,غير متاح
الحبوب والبقوليات,الأرز السائب / كيلو,28.2 جنيه
الحبوب والبقوليات,-0.652.25 %,غير متاح
الحبوب والبقوليات,الفول الصحيح السائب / كيلو,51.1 جنيه
الحبوب والبقوليات,+1.192.38 %,غير متاح
الحبوب والبقوليات,الذرة الصفراء / شيكارة,1332.97 جنيه
الحبوب والبقوليات,+12910.71 %,غير متاح
الحبوب والبقوليات,سمسم ابيض / كيلو,176.53 جنيه
الحبوب والبقوليات,+14.659.05 %,غير متاح
الحبوب والبقوليات,القمح الصلب المحلي / طن,14395.83 جنيه
الحبوب والبقوليات,+69.160.48 %,غير متاح
الحبوب والبقوليات,الذرة البيضاء / طن,14927.78 جنيه
الحبوب والبقوليات,+507.473.52 %,غير متاح
الحبوب والبقوليات,القطن المحلى تنجيد / قنطار,5933.33 جنيه
الحبوب والبقوليات,+758.3314.65 %,غير متاح
الحبوب والبقوليات,قطن مستورد(هندى او سوداني) تنجيد / قنطار,5318.18 جنيه
الحبوب والبقوليات,+151.512.93 %,غير متاح
الحبوب والبقوليات,الذرة الصفراء / شيكارة,750 جنيه
الحبوب والبقوليات,+627.5512.24 %,غير متاح
الحبوب والبقوليات,الذرة البيضاء / طن,12500 جنيه
الحبوب والبقوليات,+1240012400 %,غير متاح
الحبوب والبقوليات,الأرز السائب / كيلو,25 جنيه
الحبوب والبقوليات,00 %,غير متاح
الحبوب والبقوليات,الفول الصحيح السائب / كيلو,46 جنيه
الحبوب والبقوليات,+12.22 %,غير متاح
الحبوب والبقوليات,الفاصوليا السائبة / كيلو,74.5 جنيه
الحبوب والبقوليات,-0.50.67 %,غير متاح
الحبوب والبقوليات,الذرة الصفراء / شيكارة,659 جنيه
الحبوب والبقوليات,+91.38 %,غير متاح
الحبوب والبقوليات,سمسم ابيض / كيلو,150 جنيه
الحبوب والبقوليات,00 %,غير متاح
الحبوب والبقوليات,القمح الصلب المحلي / طن,4717.5 جنيه
الحبوب والبقوليات,+4692.518770 %,غير متاح
الحبوب والبقوليات,الذرة البيضاء / طن,10700 جنيه
الحبوب والبقوليات,+7007 %,غير متاح
الحبوب والبقوليات,القطن المحلى تنجيد / قنطار,7000 جنيه
الحبوب والبقوليات,00 %,غير متاح
الحبوب والبقوليات,قطن مستورد(هندى او سوداني) تنجيد / قنطار,6000 جنيه
الحبوب والبقوليات,00 %,غير متاح
الحبوب والبقوليات,الأرز السائب / طن,22000 جنيه
الحبوب والبقوليات,+2191024344.44 %,غير متاح
الحبوب والبقوليات,الفول الصحيح السائب / طن,30000 جنيه
الحبوب والبقوليات,00 %,غير متاح
الحبوب والبقوليات,الفاصوليا السائبة / طن,27000 جنيه
الحبوب والبقوليات,00 %,غير متاح
الحبوب والبقوليات,سمسم ابيض / طن,110000 جنيه
الحبوب والبقوليات,00 %,غير متاح
الحبوب والبقوليات,القمح الصلب المحلي / طن,13650 جنيه
الحبوب والبقوليات,+9150203.33 %,غير متاح
الحبوب والبقوليات,الأرز من المضرب / طن,14000 جنيه
الحبوب والبقوليات,+9000180 %,غير متاح
اللحوم والدواجن,اللحوم  الطازجة / كيلو,394.37 جنيه
اللحوم والدواجن,+3.590.92 %,غير متاح
